info	GenerationTime	ExecutionTime	NumVariables	NumClauses	DimensionFormula	NumRoles(Before)	NumRoles(After)	NumZeros(Before)	NumZeros(After)	ResultCompliance
exc_7_w_0.5	0.0238630771637	2.03451800346	686	3388	55775	13	7	65	40	0.7836996337	True
exc_8_w_0.5	0.0179479122162	2.02856898308	686	3388	55784	13	7	65	41	0.814102564103	True
exc_9_w_0.5	0.0189430713654	2.08793497086	686	3388	55798	13	7	65	33	0.757326007326	True
exc_10_w_0.5	0.0164709091187	2.02722883224	686	3388	55784	13	7	65	36	0.811172161172	True
exc_11_w_0.5	0.0169370174408	2.08185315132	686	3388	55797	13	7	65	40	0.875457875458	True
exc_0_w_0.55	0.017678976059	2.0286450386	686	3388	55784	13	7	65	35	0.802655677656	True
exc_1_w_0.55	0.0162370204926	2.02739500999	686	3388	55784	13	8	65	37	0.876602564103	True
exc_2_w_0.55	0.0176389217377	2.08405303955	686	3388	55784	13	8	65	42	0.897836538462	True
exc_3_w_0.55	0.0193469524384	2.02578997612	686	3388	55784	13	7	65	35	0.821428571429	True
exc_4_w_0.55	0.0174791812897	2.08694815636	686	3388	55798	13	7	65	38	0.821428571429	True
exc_5_w_0.55	0.0158169269562	2.02631211281	686	3388	55784	13	7	65	34	0.811172161172	True
exc_6_w_0.55	0.0376830101013	2.12055397034	686	3388	55798	13	7	65	36	0.820512820513	True
exc_7_w_0.55	0.0170550346375	2.02381110191	686	3388	55775	13	7	65	37	0.838644688645	True
exc_8_w_0.55	0.0179669857025	2.02867221832	686	3388	55784	13	7	65	33	0.7836996337	True
exc_9_w_0.55	0.0179669857025	2.08871483803	686	3388	55798	13	7	65	41	0.812271062271	True
exc_10_w_0.55	0.0185439586639	2.02962803841	686	3388	55784	13	7	65	37	0.722527472527	True
exc_11_w_0.55	0.0221529006958	2.09299492836	686	3388	55797	13	7	65	37	0.814102564103	True
exc_0_w_0.6	0.0168311595917	2.02743816376	686	3388	55784	13	7	65	35	0.802655677656	True
exc_1_w_0.6	0.0155880451202	2.02219796181	686	3388	55784	13	8	65	37	0.876602564103	True
exc_2_w_0.6	0.0180470943451	2.09125709534	686	3388	55784	13	8	65	36	0.795512820513	True
exc_3_w_0.6	0.0378818511963	2.04899096489	686	3388	55784	13	7	65	35	0.821428571429	True
exc_4_w_0.6	0.0172970294952	2.08286499977	686	3388	55798	13	7	65	33	0.7836996337	True
exc_5_w_0.6	0.0200099945068	2.02662611008	686	3388	55784	13	7	65	34	0.811172161172	True
exc_6_w_0.6	0.0320501327515	2.10122513771	686	3388	55798	13	7	65	36	0.820512820513	True
exc_7_w_0.6	0.0170650482178	2.01982498169	686	3388	55775	13	7	65	37	0.838644688645	True
exc_8_w_0.6	0.0219690799713	2.02846193314	686	3388	55784	13	7	65	33	0.7836996337	True
exc_9_w_0.6	0.0161681175232	2.08157014847	686	3388	55798	13	7	65	34	0.812271062271	True
exc_10_w_0.6	0.0161108970642	2.02284288406	686	3388	55784	13	7	65	37	0.722527472527	True
exc_11_w_0.6	0.0160729885101	2.08525395393	686	3388	55797	13	7	65	37	0.814102564103	True
exc_0_w_0.65	0.0217599868774	2.03014206886	686	3388	55784	13	7	65	35	0.802655677656	True
exc_1_w_0.65	0.0164070129395	2.02301216125	686	3388	55784	13	8	65	37	0.876602564103	True
exc_2_w_0.65	0.0173649787903	2.09131598473	686	3388	55784	13	8	65	34	0.896474358974	True
exc_3_w_0.65	0.0166108608246	2.01897501945	686	3388	55784	13	7	65	35	0.821428571429	True
exc_4_w_0.65	0.0327389240265	2.1067481041	686	3388	55798	13	7	65	33	0.7836996337	True
exc_5_w_0.65	0.0474338531494	2.05827999115	686	3388	55784	13	7	65	34	0.811172161172	True
exc_6_w_0.65	0.0188591480255	2.03202009201	686	3388	55798	13	7	65	36	0.820512820513	True
exc_7_w_0.65	0.0159380435944	2.08563804626	686	3388	55775	13	7	65	37	0.838644688645	True
exc_8_w_0.65	0.0163772106171	2.02323007584	686	3388	55784	13	7	65	33	0.7836996337	True
exc_9_w_0.65	0.0161070823669	2.08212089539	686	3388	55798	13	7	65	34	0.812271062271	True
exc_10_w_0.65	0.0174190998077	2.02443504333	686	3388	55784	13	7	65	34	0.740659340659	True
exc_11_w_0.65	0.0208098888397	2.09538412094	686	3388	55797	13	7	65	33	0.752289377289	True
exc_0_w_0.7	0.0167059898376	2.01929497719	686	3388	55784	13	7	65	31	0.750091575092	True
exc_1_w_0.7	0.0162320137024	2.02719283104	686	3388	55784	13	8	65	37	0.876602564103	True
exc_2_w_0.7	0.017315864563	2.08688402176	686	3388	55784	13	8	65	36	0.795512820513	True
exc_3_w_0.7	0.0175001621246	2.02508807182	686	3388	55784	13	7	65	35	0.821428571429	True
exc_4_w_0.7	0.0161130428314	2.08608412743	686	3388	55798	13	7	65	33	0.7836996337	True
exc_5_w_0.7	0.0212030410767	2.02843689919	686	3388	55784	13	7	65	34	0.811172161172	True
exc_6_w_0.7	0.0317659378052	2.04241895676	686	3388	55798	13	7	65	34	0.774267399267	True
exc_7_w_0.7	0.0171029567719	2.09089803696	686	3388	55775	13	7	65	33	0.737179487179	True
exc_8_w_0.7	0.0164959430695	2.02353596687	686	3388	55784	13	7	65	33	0.7836996337	True
exc_9_w_0.7	0.0177919864655	2.09731888771	686	3388	55798	13	7	65	34	0.812271062271	True
exc_10_w_0.7	0.0166568756104	2.02320790291	686	3388	55784	13	7	65	34	0.740659340659	True
exc_11_w_0.7	0.0166749954224	2.03266501427	686	3388	55797	13	7	65	33	0.752289377289	True
exc_0_w_0.75	0.0174391269684	2.08591723442	686	3388	55784	13	7	65	31	0.750091575092	True
exc_1_w_0.75	0.0180640220642	2.02906894684	686	3388	55784	13	8	65	34	0.779887820513	True
exc_2_w_0.75	0.0196149349213	2.08741998672	686	3388	55784	13	8	65	34	0.896474358974	True
exc_3_w_0.75	0.017126083374	2.02752900124	686	3388	55784	13	7	65	32	0.7836996337	True
exc_4_w_0.75	0.0162899494171	2.08597803116	686	3388	55798	13	7	65	33	0.7836996337	True
exc_5_w_0.75	0.0240888595581	2.02792596817	686	3388	55784	13	7	65	34	0.811172161172	True
exc_6_w_0.75	0.0171980857849	2.03383398056	686	3388	55798	13	7	65	34	0.774267399267	True
exc_7_w_0.75	0.030543088913	2.09654402733	686	3388	55775	13	7	65	33	0.737179487179	True
exc_8_w_0.75	0.0174469947815	2.02067804337	686	3388	55784	13	7	65	33	0.7836996337	True
exc_9_w_0.75	0.0158720016479	2.08580589294	686	3388	55798	13	7	65	34	0.812271062271	True
exc_10_w_0.75	0.0161001682281	2.02685213089	686	3388	55784	13	7	65	30	0.765842490842	True
exc_11_w_0.75	0.0389451980591	2.04545712471	686	3388	55797	13	7	65	33	0.752289377289	True
exc_0_w_0.8	0.018098115921	2.08849596977	686	3388	55784	13	7	65	31	0.750091575092	True
exc_1_w_0.8	0.0319969654083	2.04288697243	686	3388	55784	13	8	65	34	0.779887820513	True
exc_2_w_0.8	0.0178570747375	2.0843231678	686	3388	55784	13	8	65	34	0.896474358974	True
exc_3_w_0.8	0.0168149471283	2.02733588219	686	3388	55784	13	7	65	32	0.7836996337	True
exc_4_w_0.8	0.0169110298157	2.08536481857	686	3388	55798	13	7	65	33	0.7836996337	True
exc_5_w_0.8	0.0164089202881	2.02754998207	686	3388	55784	13	7	65	29	0.747710622711	True
exc_6_w_0.8	0.0742700099945	2.08114504814	686	3388	55798	13	7	65	34	0.774267399267	True
exc_7_w_0.8	0.0192470550537	2.09436702728	686	3388	55775	13	7	65	32	0.737179487179	True
exc_8_w_0.8	0.0167968273163	2.02788805962	686	3388	55784	13	7	65	33	0.7836996337	True
exc_9_w_0.8	0.0177311897278	2.09392905235	686	3388	55798	13	7	65	34	0.812271062271	True
exc_10_w_0.8	0.0184288024902	2.03000283241	686	3388	55784	13	7	65	30	0.765842490842	True
exc_11_w_0.8	0.0215880870819	2.03228902817	686	3388	55797	13	7	65	29	0.774267399267	True
exc_0_w_0.85	0.0269830226898	2.09863495827	686	3388	55784	13	7	65	31	0.750091575092	True
exc_1_w_0.85	0.0148711204529	2.02538299561	686	3388	55784	13	8	65	34	0.779887820513	True
exc_2_w_0.85	0.0174198150635	2.09235596657	686	3388	55784	13	8	65	34	0.896474358974	True
exc_3_w_0.85	0.0152840614319	2.02234005928	686	3388	55784	13	7	65	32	0.7836996337	True
exc_4_w_0.85	0.0179100036621	2.02854394913	686	3388	55798	13	7	65	33	0.7836996337	True
exc_5_w_0.85	0.0243060588837	2.10026907921	686	3388	55784	13	7	65	29	0.747710622711	True
exc_6_w_0.85	0.0382869243622	2.04108786583	686	3388	55798	13	7	65	31	0.747710622711	True
exc_7_w_0.85	0.0151808261871	2.08935594559	686	3388	55775	13	7	65	32	0.737179487179	True
exc_8_w_0.85	0.0174369812012	2.02849602699	686	3388	55784	13	7	65	32	0.747710622711	True
exc_9_w_0.85	0.0225169658661	2.09307003021	686	3388	55798	13	7	65	31	0.768315018315	True
exc_10_w_0.85	0.0353419780731	2.04573512077	686	3388	55784	13	7	65	30	0.765842490842	True
exc_11_w_0.85	0.0181319713593	2.02459692955	686	3388	55797	13	7	65	28	0.737179487179	True
exc_0_w_0.9	0.0170409679413	2.08742308617	686	3388	55476	13	7	65	31	0.750091575092	True
exc_1_w_0.9	0.018238067627	2.03396916389	686	3388	55476	13	8	65	31	0.810176282051	True
exc_2_w_0.9	0.019180059433	2.08928489685	686	3388	55476	13	8	65	31	0.825801282051	True
exc_3_w_0.9	0.0164520740509	2.02936410904	686	3388	55476	13	7	65	29	0.766483516484	True
exc_4_w_0.9	0.018002986908	2.035820961	686	3388	55490	13	7	65	30	0.774267399267	True
exc_5_w_0.9	0.0198180675507	2.09022116661	686	3388	55476	13	7	65	29	0.747710622711	True
exc_6_w_0.9	0.0194640159607	2.02591514587	686	3388	55490	13	7	65	31	0.747710622711	True
exc_7_w_0.9	0.0161409378052	2.08642888069	686	3388	55467	13	7	65	32	0.737179487179	True
exc_8_w_0.9	0.0176920890808	2.02412390709	686	3388	55476	13	7	65	32	0.747710622711	True
exc_9_w_0.9	0.0160720348358	2.08650016785	686	3388	55490	13	7	65	31	0.768315018315	True
exc_10_w_0.9	0.0183689594269	2.02882790565	686	3388	55476	13	7	65	30	0.765842490842	True
exc_11_w_0.9	0.0173251628876	2.01969218254	686	3388	55489	13	7	65	28	0.737179487179	True
exc_0_w_0.95	0.0193450450897	2.09386396408	686	3388	55476	13	7	65	31	0.750091575092	True
exc_1_w_0.95	0.0199458599091	2.0287258625	686	3388	55476	13	8	65	31	0.810176282051	True
exc_2_w_0.95	0.0171980857849	2.08780312538	686	3388	55476	13	8	65	31	0.825801282051	True
exc_3_w_0.95	0.0216171741486	2.02809619904	686	3388	55476	13	7	65	29	0.766483516484	True
exc_4_w_0.95	0.0157868862152	2.02627182007	686	3388	55490	13	7	65	30	0.774267399267	True
exc_5_w_0.95	0.0175249576569	2.08780789375	686	3388	55476	13	7	65	29	0.747710622711	True
exc_6_w_0.95	0.0165071487427	2.01895308495	686	3388	55490	13	7	65	31	0.747710622711	True
exc_7_w_0.95	0.018394947052	2.08906698227	686	3388	55467	13	7	65	32	0.737179487179	True
exc_8_w_0.95	0.0174839496613	2.02807211876	686	3388	55476	13	7	65	32	0.747710622711	True
exc_9_w_0.95	0.0181369781494	2.02863383293	686	3388	55490	13	7	65	31	0.768315018315	True
exc_10_w_0.95	0.0173389911652	2.09181904793	686	3388	55476	13	7	65	30	0.765842490842	True
exc_11_w_0.95	0.0333240032196	2.04007697105	686	3388	55489	13	7	65	28	0.737179487179	True
exc_0_w_1.0	0.0378050804138	2.10851597786	686	3388	55785	13	7	65	30	0.792124542125	True
exc_1_w_1.0	0.0172739028931	2.02771687508	686	3388	55785	13	8	65	30	0.779887820513	True
exc_2_w_1.0	0.0193738937378	2.09427690506	686	3388	55785	13	8	65	30	0.800080128205	True
exc_3_w_1.0	0.0167670249939	2.02705311775	686	3388	55785	13	7	65	29	0.710622710623	True
exc_4_w_1.0	0.0171160697937	2.0239470005	686	3388	55799	13	7	65	30	0.747710622711	True
exc_5_w_1.0	0.0163578987122	2.09106087685	686	3388	55785	13	7	65	29	0.765567765568	True
exc_6_w_1.0	0.0164639949799	2.0269742012	686	3388	55799	13	7	65	30	0.7836996337	True
exc_7_w_1.0	0.0178940296173	2.08462309837	686	3388	55776	13	7	65	29	0.765842490842	True
exc_8_w_1.0	0.0163750648499	2.02290010452	686	3388	55785	13	7	65	31	0.774267399267	True
exc_9_w_1.0	0.0162320137024	2.02687501907	686	3388	55799	13	7	65	30	0.739468864469	True
exc_10_w_1.0	0.0166001319885	2.0918700695	686	3388	55785	13	7	65	31	0.799450549451	True
exc_11_w_1.0	0.0177628993988	2.02821493149	686	3388	55798	13	7	65	30	0.719322344322	True
